,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X173,X173,88,36835,34778,3790,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,173,167
B6,B6,NA,29800,29800,3833,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B6,267
X85,X85,40,33509,32619,3835,Neustadt-Glewe,Production,Production,direct,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,85,79
X40,X40,22,69144,65652,3952,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,40,34
X201,X201,96,30299,28514,3983,Krafla,K-32,Injection,spores,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,201,195
X223,X223,118,15723,15723,4092,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,223,217
X193,X193,88,44088,40777,4150,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,193,187
X78,X78,33,50510,45739,4154,Bad Blumau,Middle,HeatCentral,spores,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,78,72
X131,X131,46,34618,34618,4170,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,131,125
X180,X180,95,52357,52357,4195,Krafla,K-32,Injection,direct,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,180,174
B9,B9,NA,33837,32723,4361,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9,270
B14,B14,NA,39678,39678,4374,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B14,275
X73,X73,28,63252,58712,4472,Bad Blumau,Injection,Injection,spores,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,73,67
B17,B17,NA,46531,45820,4506,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B17,278
